Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.03      0.01     0.01        9     1.11     1.11  drag_event_loop
  0.00      0.01     0.00     3100     0.00     0.00  absmin
  0.00      0.01     0.00     1813     0.00     0.00  draw_outline
  0.00      0.01     0.00     1432     0.00     0.00  sborder
  0.00      0.01     0.00     1176     0.00     0.00  jbwm_get_head_client
  0.00      0.01     0.00     1123     0.00     0.00  jbwm_find_client
  0.00      0.01     0.00     1100     0.00     0.00  snap_cond
  0.00      0.01     0.00      775     0.00     0.00  jbwm_snap_dim
  0.00      0.01     0.00      759     0.00     0.00  mv
  0.00      0.01     0.00      716     0.00     0.00  sborderdir
  0.00      0.01     0.00      648     0.00     0.00  snap_dir
  0.00      0.01     0.00      578     0.00     0.00  set_size
  0.00      0.01     0.00      531     0.00     0.00  jbwm_get_property
  0.00      0.01     0.00      509     0.00     0.00  jbwm_handle_PropertyNotify
  0.00      0.01     0.00      434     0.00     0.00  get_atom
  0.00      0.01     0.00      434     0.00     0.00  jbwm_get_wm_state
  0.00      0.01     0.00      359     0.00     0.00  jbwm_set_property
  0.00      0.01     0.00      358     0.00     0.00  jbwm_snap_border
  0.00      0.01     0.00      324     0.00     0.00  jbwm_snap_client
  0.00      0.01     0.00      324     0.00     0.00  set_position
  0.00      0.01     0.00      324     0.00     0.00  snap_search
  0.00      0.01     0.00      254     0.00     0.00  jbwm_update_title_bar
  0.00      0.01     0.00      253     0.00     0.00  draw_text
  0.00      0.01     0.00      253     0.00     0.00  draw_title
  0.00      0.01     0.00      253     0.00     0.00  jbwm_get_font_ascent
  0.00      0.01     0.00      253     0.00     0.00  jbwm_get_title
  0.00      0.01     0.00      253     0.00     0.00  move_buttons
  0.00      0.01     0.00      253     0.00     0.00  resize_title_bar
  0.00      0.01     0.00      186     0.00     0.00  get_mwm_hints_atom
  0.00      0.01     0.00      186     0.00     0.00  jbwm_handle_mwm_hints
  0.00      0.01     0.00      180     0.00     0.00  do_move
  0.00      0.01     0.00      180     0.00     0.00  jbwm_configure_client
  0.00      0.01     0.00      180     0.00     0.00  jbwm_move_resize
  0.00      0.01     0.00      161     0.00     0.00  jbwm_handle_EnterNotify
  0.00      0.01     0.00      146     0.00     0.00  jbwm_ewmh_add_state
  0.00      0.01     0.00      140     0.00     0.00  jbwm_get_current_client
  0.00      0.01     0.00      108     0.00     0.00  jbwm_handle_ConfigureNotify
  0.00      0.01     0.00       94     0.00     0.00  jbwm_set_wm_state
  0.00      0.01     0.00       92     0.00     0.00  set_showing
  0.00      0.01     0.00       83     0.00     0.00  jbwm_ewmh_remove_state
  0.00      0.01     0.00       76     0.00     0.00  jbwm_select_client
  0.00      0.01     0.00       76     0.00     0.00  jbwm_set_current_client
  0.00      0.01     0.00       76     0.00     0.00  set_active_window
  0.00      0.01     0.00       76     0.00     0.00  set_border
  0.00      0.01     0.00       76     0.00     0.00  set_focused
  0.00      0.01     0.00       76     0.00     0.00  unselect_current
  0.00      0.01     0.00       75     0.00     0.00  set_ewmh_property
  0.00      0.01     0.00       70     0.00     0.00  jbwm_handle_Expose
  0.00      0.01     0.00       65     0.00     0.00  jbwm_get_mod_mask
  0.00      0.01     0.00       64     0.00     0.00  jbwm_handle_key_event
  0.00      0.01     0.00       63     0.00     0.00  jbwm_hide_client
  0.00      0.01     0.00       60     0.00     0.00  set_root_property
  0.00      0.01     0.00       50     0.00     0.00  get_bg
  0.00      0.01     0.00       50     0.00     0.00  set_state_not_focused
  0.00      0.01     0.00       45     0.00     0.00  get_win
  0.00      0.01     0.00       45     0.00     0.00  handle_client_key_event
  0.00      0.01     0.00       39     0.00     0.00  jbwm_warp
  0.00      0.01     0.00       34     0.00     0.00  commit_key_move
  0.00      0.01     0.00       34     0.00     0.00  get_antecedent
  0.00      0.01     0.00       34     0.00     0.00  get_move_flags
  0.00      0.01     0.00       34     0.00     0.00  handle_key_move
  0.00      0.01     0.00       34     0.00     0.00  key_move
  0.00      0.01     0.00       34     0.00     0.00  point
  0.00      0.01     0.00       30     0.00     0.00  get_client_list_r
  0.00      0.01     0.00       30     0.00     0.00  get_mixed_client_list
  0.00      0.01     0.00       30     0.00     0.00  get_ordered_client_list
  0.00      0.01     0.00       30     0.00     0.00  get_window_list
  0.00      0.01     0.00       30     0.00     0.00  jbwm_ewmh_update_client_list
  0.00      0.01     0.00       30     0.00     0.00  query_tree
  0.00      0.01     0.00       29     0.00     0.00  jbwm_restore_client
  0.00      0.01     0.00       22     0.00     0.00  jbwm_set_shape
  0.00      0.01     0.00       17     0.00     0.00  jbwm_grab_button
  0.00      0.01     0.00       15     0.00     0.00  check_visibility
  0.00      0.01     0.00       15     0.00     0.00  cond_set_vdesk
